calculated_host_listings_count,availability_365,room_type,host_id,neighbourhood,price
0.006134969325153375,0.2410958904109589,0.0,0.38092505542330024,0.5318181818181817,200
0.012269938650306749,0.4301369863013699,0.0,0.14552062213816946,0.03636363636363636,152
0.012269938650306749,0.8356164383561644,0.0,0.788506484912358,0.24545454545454545,100
0.009202453987730062,0.9178082191780822,0.5,0.004949085833880063,0.3909090909090909,625
0.0,0.7315068493150685,0.5,0.2777148890541354,0.05454545454545454,408
0.009202453987730062,0.7178082191780822,0.0,0.05936011109295624,0.3136363636363636,47
0.0,0.0,0.0,0.06625455070073193,0.13636363636363635,45
0.0,0.0,0.5,0.07345636631710713,0.03636363636363636,190
0.003067484662576687,0.021917808219178082,0.5,0.13056615723325238,0.09545454545454544,150
0.0,0.12054794520547946,0.5,0.02038368563238745,0.23636363636363636,250
0.0,0.589041095890411,0.5,0.721020523635968,0.13636363636363635,280
0.0,0.0,0.0,0.15156778460292003,0.13636363636363635,80
0.14723926380368096,0.547945205479452,0.5,0.7474114692462391,0.004545454545454545,737
0.0,0.904109589041096,0.5,0.9549134014328485,0.7045454545454545,280
0.0,0.0,0.5,0.053997272997118075,0.05454545454545454,170
0.003067484662576687,0.0,0.0,0.08205433517189285,0.16363636363636364,114
0.015337423312883437,0.4383561643835616,0.0,0.6961936745831242,0.02727272727272727,80
0.0,0.0,0.5,0.037886820726233866,0.03636363636363636,195
0.0,0.0,0.5,0.18317112288302925,0.12272727272727273,350
0.0,0.715068493150685,0.0,0.09201094980232885,0.35909090909090907,88
0.003067484662576687,0.0684931506849315,0.0,0.01588841494468504,0.2545454545454545,62
0.003067484662576687,0.0,0.0,0.07871200065506279,0.20454545454545453,110
0.0,0.2602739726027397,0.5,0.0061827201001089455,0.09090909090909091,92
0.0,0.18904109589041096,0.5,0.007705528920805563,0.4636363636363636,950
0.0,0.0,0.5,0.12663241215942875,0.004545454545454545,225
0.0,0.8684931506849315,0.0,9.392358616167757e-05,0.09545454545454544,75
0.0,0.4273972602739726,0.0,0.056596931317219296,0.1318181818181818,90
0.006134969325153375,0.021917808219178082,0.0,0.011080413164041122,0.5590909090909091,99
0.0,0.0,0.5,0.013316519948170366,0.17272727272727273,1000
0.0,0.0,1.0,0.07833835502205679,0.03636363636363636,80
0.0,0.473972602739726,0.0,0.020981592282163498,0.12272727272727273,350
0.012269938650306749,0.30684931506849317,0.0,0.020191121319738332,0.09545454545454544,69
0.006134969325153375,0.0,0.0,0.3483620342645053,0.6681818181818181,55
0.012269938650306749,0.1095890410958904,0.5,0.8425806429223126,0.01818181818181818,180
0.0,0.0,0.5,0.08873729087019508,0.11818181818181818,200
0.0,0.7753424657534247,0.5,0.029208649549727083,0.06818181818181818,115
0.0,0.0,0.5,0.08093947879069815,0.20454545454545453,130
0.003067484662576687,0.016438356164383564,0.0,0.2397666215602578,0.013636363636363636,100
0.0,0.0,0.0,0.0231652309050032,0.03636363636363636,90
0.009202453987730062,0.0,0.0,0.11922411776006175,0.08636363636363636,120
0.0,0.0,0.0,0.023918653724359817,0.05454545454545454,70
0.0,0.0,0.0,0.0896216052201056,0.02727272727272727,58
0.0,0.0,0.0,0.11128177308424665,0.05909090909090909,50
0.0,0.9972602739726028,0.5,0.16405422273334863,0.031818181818181815,200
0.0,0.0,0.0,0.015142523510114376,0.09545454545454544,40
0.0,0.18904109589041096,0.5,0.010187816478102688,0.02727272727272727,200
0.0,0.021917808219178082,0.5,0.012017126412747985,0.00909090909090909,140
0.0,0.0,0.5,0.08565976509180696,0.049999999999999996,200
0.003067484662576687,0.13424657534246576,0.0,0.6549138228404386,0.09545454545454544,65
0.003067484662576687,0.6767123287671233,0.5,0.13056615723325238,0.09545454545454544,172
0.006134969325153375,0.0,0.0,0.04915486962972439,0.1318181818181818,99
0.027607361963190184,0.07123287671232877,0.0,0.0815892338847194,0.6681818181818181,39
0.0,0.27945205479452057,0.5,0.81363543873353,0.10909090909090909,165
0.006134969325153375,0.9205479452054794,0.0,0.0004930140719295074,0.013636363636363636,70
0.0,0.4054794520547945,0.5,0.5036194865606376,0.9318181818181818,75
0.03987730061349693,0.9780821917808219,0.0,0.9493430164534656,0.004545454545454545,425
